Account_ID,Customer_ID,Branch_ID,Account_Type,Balance,Opening_Date
50001,10932,104,Current,835542,06-03-2023
50002,10336,102,Current,1751174,21-01-2026
50003,13171,106,Savings,71262,01-03-2023
50004,13985,100,Current,847420,02-12-2020
50005,12685,108,Current,1918405,24-10-2020
50006,12388,101,Current,201885,08-02-2019
50007,12804,104,Current,85161,30-08-2023
50008,10693,101,Current,1053031,10-03-2020
50009,10673,101,Savings,903400,25-08-2020
50010,10854,106,Current,1573386,22-03-2018
50011,14679,106,Savings,397006,25-12-2025
50012,12183,108,Savings,1371721,23-03-2026
50013,12261,102,Savings,754620,30-01-2024
50014,14403,100,Current,1669247,04-02-2026
50015,10260,109,Savings,791327,28-02-2018
50016,14881,104,Savings,59616,03-09-2020
50017,13017,108,Current,33185,18-10-2023
50018,11270,101,Current,263453,27-12-2020
50019,11809,104,Current,291114,04-03-2022
50020,13979,108,Current,1028867,07-10-2020
50021,11781,108,Savings,671766,06-01-2017
50022,10192,106,Savings,1214052,11-02-2022
50023,13808,101,Savings,302938,20-07-2021
50024,11808,108,Current,1692408,09-02-2020
50025,12852,109,Current,1993532,23-12-2020
50026,10453,104,Current,1982981,31-01-2026
50027,12001,109,Current,329779,18-06-2023
50028,13121,104,Savings,1997309,01-12-2019
50029,13172,103,Savings,368371,15-06-2024
50030,10384,106,Current,1369261,28-12-2025
50031,12104,102,Current,1691321,20-10-2023
50032,11571,109,Savings,898368,20-11-2019
50033,12621,104,Current,1734889,07-09-2022
50034,11753,101,Savings,1363154,07-10-2025
50035,12188,101,Current,426360,06-10-2021
50036,14601,106,Savings,56814,06-08-2025
50037,11220,104,Current,133326,19-03-2021
50038,13416,105,Savings,1104824,19-09-2017
50039,12910,100,Savings,1360769,05-12-2021
50040,11321,101,Savings,497007,10-10-2018
50041,13962,103,Current,1789716,06-11-2016
50042,13792,100,Current,324295,11-01-2024
50043,14990,108,Current,1497407,19-07-2021
50044,14702,100,Savings,82206,10-07-2020
50045,14215,108,Current,631773,26-09-2024
50046,12653,108,Savings,104421,24-07-2018
50047,11662,102,Savings,1260122,12-04-2019
