Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount
1,51489,19-04-2024,Withdrawal,45467
2,54062,20-04-2025,Withdrawal,21947
3,53753,07-03-2024,Withdrawal,199340
4,55434,17-11-2024,Withdrawal,6485
5,51159,19-08-2025,Withdrawal,137152
6,50088,20-07-2023,Withdrawal,236744
7,56161,14-07-2023,Withdrawal,381246
8,51737,14-03-2024,Withdrawal,871951
9,52980,22-03-2026,Withdrawal,810600
10,51206,12-07-2023,Withdrawal,230192
11,52569,23-11-2023,Withdrawal,170220
12,56382,14-11-2025,Withdrawal,28076
13,53489,08-09-2024,Withdrawal,477037
14,52365,27-05-2026,Deposit,45922
15,51534,17-06-2024,Deposit,311164
16,57312,10-12-2025,Withdrawal,48541
17,54334,27-06-2024,Withdrawal,203611
18,56538,26-01-2024,Deposit,498100
19,52695,09-03-2026,Deposit,10578
20,56725,07-05-2025,Deposit,31732
21,57101,07-06-2025,Deposit,691603
22,54968,26-04-2024,Deposit,40879
23,57490,22-10-2023,Withdrawal,16312
24,50536,29-03-2024,Deposit,26473
25,52405,04-07-2025,Deposit,11043
26,52034,10-01-2026,Deposit,31875
27,57341,03-06-2024,Withdrawal,4659
28,50215,21-08-2025,Withdrawal,995751
29,53917,09-03-2026,Deposit,23542
30,56702,02-04-2026,Deposit,19784
31,51404,22-12-2024,Withdrawal,14573
32,51082,28-12-2023,Withdrawal,376720
33,50706,23-09-2023,Withdrawal,13434
34,56834,14-10-2024,Deposit,146905
35,50732,03-09-2025,Withdrawal,29077
36,57379,09-11-2024,Deposit,847308
37,56360,13-02-2025,Deposit,830203
38,50925,26-01-2024,Deposit,926444
39,50540,12-06-2026,Deposit,11684
40,50526,09-04-2025,Deposit,40327
41,52947,26-06-2024,Deposit,157482
42,53658,09-01-2026,Withdrawal,119690
43,54327,26-08-2025,Withdrawal,379662
44,55559,31-12-2025,Withdrawal,256301
45,53194,16-12-2025,Deposit,38089
46,52253,23-04-2026,Withdrawal,378251
47,53889,22-08-2025,Withdrawal,42308
48,53528,27-03-2025,Deposit,40076
49,53792,25-04-2025,Deposit,832323
50,50372,16-12-2023,Deposit,333468
51,52410,29-12-2025,Deposit,12975
52,52200,02-11-2025,Deposit,227028
53,50394,04-05-2024,Withdrawal,923
54,50145,28-12-2025,Withdrawal,47799
55,55238,13-10-2024,Deposit,35280
56,52969,01-04-2026,Deposit,19167
57,55541,31-01-2026,Deposit,30089
58,52884,18-03-2024,Withdrawal,29063
59,50467,16-02-2026,Deposit,14549
60,51094,26-05-2024,Withdrawal,7198
61,55894,30-04-2026,Withdrawal,592054
62,54124,19-07-2023,Deposit,18169
63,54486,15-10-2025,Withdrawal,25033
64,57420,10-12-2023,Deposit,921520
65,52793,22-03-2026,Deposit,323900
66,53977,04-02-2026,Withdrawal,1679
67,56268,08-06-2026,Withdrawal,330876
68,55468,01-10-2023,Withdrawal,200641
69,52939,26-12-2025,Deposit,962382
70,52167,05-02-2024,Withdrawal,939430
71,52969,27-12-2023,Withdrawal,9347
72,54188,02-04-2025,Withdrawal,39887
73,56621,10-03-2025,Withdrawal,25196
74,57008,06-11-2023,Withdrawal,458254
75,55162,18-08-2024,Deposit,220684
76,50282,21-07-2024,Withdrawal,250284
77,56596,15-03-2024,Deposit,27641
78,56874,30-01-2024,Deposit,45432
79,55463,24-04-2025,Deposit,37924
80,54419,31-05-2026,Deposit,740369
81,55953,23-04-2024,Deposit,757677
82,52954,12-03-2025,Withdrawal,226826
83,56553,01-06-2026,Withdrawal,33411
84,54225,02-01-2025,Deposit,349797
85,56214,13-05-2024,Deposit,673663
86,54634,01-07-2023,Withdrawal,706159
87,57026,17-11-2023,Deposit,13121
88,53163,04-11-2024,Withdrawal,505204
89,52336,20-12-2023,Deposit,513796
90,54731,29-10-2024,Withdrawal,20182
91,50472,16-07-2024,Withdrawal,7547
92,51572,14-06-2025,Withdrawal,513822
93,54359,08-07-2025,Withdrawal,17460
94,53395,04-03-2026,Deposit,972220
95,51044,25-06-2023,Deposit,12789
96,55669,25-12-2025,Withdrawal,36931
97,54240,16-03-2026,Withdrawal,8998
98,55070,21-07-2025,Deposit,205764
99,56271,02-02-2024,Deposit,303124
100,57178,14-01-2025,Deposit,815523
101,53398,28-05-2024,Withdrawal,12454
102,54940,11-04-2025,Deposit,32360
103,56109,20-12-2024,Deposit,479037
104,52435,04-05-2024,Deposit,890527
105,53176,18-06-2023,Withdrawal,602338
106,56884,12-01-2025,Withdrawal,6165
107,55242,24-02-2025,Deposit,53788
108,51399,27-04-2026,Deposit,36455
109,54179,09-01-2025,Withdrawal,563687
110,53702,18-05-2024,Withdrawal,9719
111,55444,22-03-2026,Deposit,44641
112,54845,31-10-2024,Withdrawal,60760
113,53603,16-01-2026,Deposit,13460
114,56141,14-05-2025,Deposit,468856
115,54779,24-08-2023,Deposit,913463
116,51436,05-07-2023,Withdrawal,1409
117,50797,23-11-2023,Withdrawal,935694
118,53275,08-06-2025,Withdrawal,39814
119,51530,04-01-2026,Deposit,419231
120,51739,29-01-2025,Deposit,905889
121,53560,30-09-2025,Deposit,637011
122,54721,08-08-2024,Deposit,434721
123,52041,04-12-2025,Withdrawal,975027
124,56851,18-03-2026,Deposit,31928
125,52768,09-10-2024,Deposit,23203
126,55882,05-03-2026,Withdrawal,617939
127,50135,23-03-2026,Deposit,938629
128,55920,20-02-2024,Deposit,46249
129,54955,12-01-2026,Withdrawal,709739
130,52190,04-03-2026,Deposit,47265
131,56482,24-11-2023,Withdrawal,29607
132,56998,21-10-2025,Withdrawal,39467
133,55845,30-10-2024,Withdrawal,36659
134,54501,10-05-2026,Withdrawal,381728
135,55391,18-04-2026,Deposit,360887
136,52357,04-11-2023,Withdrawal,32702
137,53442,20-03-2024,Withdrawal,385949
138,50787,19-10-2023,Deposit,24516
139,54307,18-07-2023,Deposit,27340
140,57433,29-06-2024,Withdrawal,829332
141,56158,04-11-2025,Withdrawal,12837
142,56202,14-06-2025,Withdrawal,48687
143,53476,11-08-2023,Deposit,87706
144,50935,07-06-2025,Deposit,16042
145,56904,18-03-2026,Deposit,29294
146,54256,18-10-2024,Withdrawal,379130
147,54920,27-06-2025,Withdrawal,541899
148,56774,01-12-2025,Withdrawal,18484
149,51089,23-11-2025,Deposit,10506
150,50155,27-11-2023,Withdrawal,674836
151,55353,14-10-2024,Deposit,444856
152,50943,23-02-2024,Deposit,918470
153,53880,08-11-2023,Withdrawal,254214
154,52869,25-09-2024,Withdrawal,826992
155,51311,20-04-2024,Deposit,715791
156,53827,30-09-2025,Deposit,34953
157,50880,23-05-2025,Withdrawal,17398
158,55902,26-11-2023,Deposit,392589
159,54603,14-11-2023,Withdrawal,132153
160,50451,19-07-2025,Withdrawal,644488
161,55079,28-01-2024,Withdrawal,4540
162,54223,25-01-2025,Deposit,239935
163,54173,19-10-2023,Deposit,13683
164,56520,17-01-2025,Deposit,444551
165,56973,11-02-2024,Withdrawal,40310
166,52726,23-02-2025,Deposit,33415
167,55877,26-11-2023,Withdrawal,169306
168,54427,17-10-2023,Withdrawal,45971
169,54281,17-04-2024,Withdrawal,31898
170,55394,20-02-2026,Deposit,726909
171,54886,07-05-2024,Deposit,317932
172,53791,08-06-2026,Deposit,580784
173,54508,23-08-2023,Deposit,250685
174,57106,28-10-2025,Withdrawal,15371
175,56448,11-05-2025,Withdrawal,5532
176,56303,19-04-2026,Withdrawal,48997
177,55535,10-10-2023,Deposit,21955
178,53563,09-03-2025,Withdrawal,342123
179,51022,05-08-2023,Withdrawal,266782
180,55312,26-01-2024,Deposit,24440
181,50542,04-09-2023,Withdrawal,550862
182,53372,12-01-2025,Withdrawal,29356
183,50764,19-12-2023,Withdrawal,16966
184,52578,06-10-2025,Deposit,31679
185,54135,16-06-2024,Withdrawal,519540
186,50647,07-02-2026,Deposit,34762
187,53756,22-08-2025,Deposit,266526
188,57135,27-08-2024,Deposit,30499
189,50552,05-05-2025,Deposit,38704
190,52161,07-08-2023,Withdrawal,653254
191,56764,25-06-2024,Deposit,375499
192,53113,02-09-2025,Deposit,44150
193,55125,17-03-2024,Deposit,48521
194,57059,19-10-2024,Deposit,544773
195,52133,07-10-2024,Deposit,986401
196,53243,12-12-2024,Withdrawal,456243
197,56201,17-09-2023,Deposit,19652
198,53768,07-12-2025,Withdrawal,224151
199,55611,03-10-2024,Withdrawal,18340
200,54842,12-08-2024,Withdrawal,432819
201,53439,12-06-2025,Withdrawal,3193
202,56348,25-07-2023,Withdrawal,973632
203,50278,19-06-2025,Deposit,21199
204,51835,20-07-2024,Deposit,20570
205,53130,21-04-2026,Deposit,107870
206,56412,22-02-2024,Deposit,9515
207,55150,07-09-2023,Withdrawal,27562
208,55071,25-03-2024,Deposit,815468
209,57360,26-02-2024,Deposit,3498
210,54735,12-07-2024,Withdrawal,436228
211,55062,01-09-2023,Withdrawal,384284
212,54167,06-12-2024,Deposit,1633
213,56546,22-03-2024,Withdrawal,915941
214,51752,31-03-2025,Deposit,677410
215,51569,29-01-2026,Deposit,733246
216,55886,25-08-2024,Deposit,23984
217,52821,14-08-2025,Deposit,390525
218,52055,14-05-2026,Deposit,570235
219,52306,23-02-2024,Withdrawal,40754
220,51020,19-06-2025,Withdrawal,23513
221,51640,16-09-2023,Deposit,178176
222,50653,15-06-2024,Withdrawal,733476
223,51533,09-01-2026,Withdrawal,310890
224,50167,27-11-2024,Deposit,10652
225,53123,11-11-2024,Deposit,36665
226,52737,23-08-2025,Deposit,919421
227,51802,12-12-2023,Withdrawal,20101
228,51983,18-11-2025,Withdrawal,997719
229,52427,18-07-2024,Deposit,11750
230,53468,16-11-2025,Withdrawal,747337
231,54354,25-02-2024,Deposit,28286
232,54151,04-06-2025,Deposit,61519
233,51652,10-09-2024,Withdrawal,550985
234,53308,20-12-2023,Deposit,609412
235,56882,25-02-2024,Deposit,26932
236,54999,21-08-2023,Withdrawal,49609
237,50543,23-05-2025,Withdrawal,36415
238,56875,14-04-2024,Deposit,42453
239,52332,22-03-2024,Withdrawal,3565
240,55468,02-01-2026,Withdrawal,77908
241,55626,07-04-2024,Withdrawal,627296
242,55738,27-09-2023,Deposit,204743
243,53247,30-04-2025,Withdrawal,18548
244,54993,15-07-2024,Withdrawal,27055
245,56036,12-10-2023,Withdrawal,186459
246,50772,18-08-2023,Withdrawal,49328
247,55768,09-11-2023,Withdrawal,44648
